arm,condition,treatment_message_id,model,model_family,prompt_variant_number,treatment_message_word_count,valence_correct,gender,age,age_band,education,party_affiliation,political_party,political_ideology,political_knowledge,confinement-1,confinement-2-reversed,confinement-3,confinement-4,confinement_mean
Message 19,AI,ban_solitary_confinement_juveniles_Qwen1.5-4B_1,Qwen1.5-4B,Qwen1.5,1.0,143.0,1.0,Female,32,30-44,Graduate degree,Moderate Democrat,1,1,2,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Female,34,30-44,4-year college,Independent,2,2,3,50.0,50.0,50.0,50.0,50.0
Message 35,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_1,Qwen1.5-7B,Qwen1.5,1.0,180.0,1.0,Female,37,30-44,Graduate degree,Independent,2,0,3,0.0,0.0,14.0,0.0,3.5
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,24,18-29,4-year college,Moderate Democrat,1,1,1,23.0,46.0,60.0,43.0,43.0
Control,control,,,,,,,Male,49,45-59,2-year college,Independent,2,1,3,8.0,10.0,0.0,8.0,6.5
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Female,23,18-29,High school diploma,"Other (Libertarian, Green, etc.)",2,2,3,7.0,67.0,60.0,62.0,49.0
Message 65,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_1,Qwen1.5-14B,Qwen1.5,1.0,266.0,1.0,Female,27,18-29,High school diploma,Strong Democrat,0,0,2,80.0,68.0,65.0,35.0,62.0
Control,control,,,,,,,Female,35,30-44,Graduate degree,Moderate Republican,3,3,2,71.0,69.0,71.0,76.0,71.75
Control,control,,,,,,,Female,23,18-29,4-year college,Strong Democrat,0,0,3,0.0,10.0,0.0,0.0,2.5
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Male,27,18-29,4-year college,Moderate Democrat,1,2,3,75.0,75.0,20.0,70.0,60.0
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,26,18-29,4-year college,Strong Democrat,0,0,3,45.0,55.0,55.0,55.0,52.5
Message 21,AI,ban_solitary_confinement_juveniles_pythia-410m_1,pythia-410m,pythia,1.0,181.0,0.0,Female,53,45-59,Graduate degree,Moderate Democrat,1,1,0,80.0,80.0,40.0,70.0,67.5
Message 39,AI,ban_solitary_confinement_juveniles_Yi-6B_1,Yi-6B,Yi,1.0,279.0,1.0,Female,34,30-44,4-year college,Moderate Democrat,1,2,2,78.0,78.0,51.0,59.0,66.5
Message 22,AI,ban_solitary_confinement_juveniles_pythia-160m_2,pythia-160m,pythia,2.0,59.0,0.0,Female,39,30-44,High school diploma,Moderate Democrat,1,1,3,50.0,100.0,30.0,80.0,65.0
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,31,30-44,4-year college,Moderate Republican,3,3,2,79.0,73.0,75.0,83.0,77.5
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,35,30-44,4-year college,Strong Democrat,0,0,3,70.0,60.0,37.0,72.0,59.75
Control,control,,,,,,,Female,37,30-44,Graduate degree,Strong Democrat,0,0,3,50.0,50.0,50.0,50.0,50.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,44,30-44,Graduate degree,Moderate Democrat,1,1,3,82.0,80.0,20.0,40.0,55.5
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,50,45-59,4-year college,Moderate Democrat,1,1,2,100.0,100.0,100.0,100.0,100.0
Control,control,,,,,,,Female,29,18-29,4-year college,Moderate Democrat,1,1,2,90.0,5.0,29.0,10.0,33.5
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,58,45-59,2-year college,Strong Democrat,0,0,2,52.0,46.0,50.0,50.0,49.5
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,31,30-44,4-year college,Moderate Democrat,1,1,3,74.0,76.0,100.0,75.0,81.25
Message 34,AI,ban_solitary_confinement_juveniles_Yi-6B_2,Yi-6B,Yi,2.0,286.0,1.0,Male,41,30-44,High school diploma,Moderate Democrat,1,1,2,50.0,50.0,50.0,59.0,52.25
Control,control,,,,,,,Non-binary / third gender,32,30-44,Technical certification or trade school,Moderate Democrat,1,1,0,78.0,81.0,68.0,19.0,61.5
Message 44,AI,ban_solitary_confinement_juveniles_pythia-12b_2,pythia-12b,pythia,2.0,345.0,0.0,Female,25,18-29,2-year college,Strong Democrat,0,1,2,0.0,9.0,6.0,87.0,25.5
Message 67,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_3,Qwen1.5-14B,Qwen1.5,3.0,262.0,1.0,Male,51,45-59,4-year college,Independent,2,2,2,100.0,100.0,90.0,0.0,72.5
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,36,30-44,4-year college,Strong Democrat,0,0,3,23.0,15.0,41.0,29.0,27.0
Message 09,AI,ban_solitary_confinement_juveniles_Qwen1.5-4B_2,Qwen1.5-4B,Qwen1.5,2.0,169.0,1.0,Female,30,30-44,4-year college,Moderate Democrat,1,2,3,80.0,10.0,10.0,10.0,27.5
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,26,18-29,High school diploma,Moderate Democrat,1,1,3,70.0,80.0,80.0,40.0,67.5
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,27,18-29,4-year college,Strong Democrat,0,0,2,0.0,0.0,0.0,100.0,25.0
Message 45,AI,ban_solitary_confinement_juveniles_pythia-6.9b_3,pythia-6.9b,pythia,3.0,255.0,0.0,Female,23,18-29,4-year college,Moderate Democrat,1,0,3,5.0,5.0,5.0,95.0,27.5
Control,control,,,,,,,Female,68,60+,4-year college,Independent,2,2,3,32.0,24.0,32.0,13.0,25.25
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Non-binary / third gender,21,18-29,High school diploma,Strong Democrat,0,0,3,0.0,0.0,3.0,0.0,0.75
Message 21,AI,ban_solitary_confinement_juveniles_pythia-410m_1,pythia-410m,pythia,1.0,181.0,0.0,Female,29,18-29,Graduate degree,Moderate Democrat,1,1,3,26.0,35.0,42.0,56.0,39.75
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,22,18-29,2-year college,Moderate Republican,3,2,2,70.0,58.0,81.0,77.0,71.5
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Male,22,18-29,4-year college,Moderate Republican,3,2,3,100.0,60.0,80.0,0.0,60.0
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Prefer not to say,21,18-29,High school diploma,"Other (Libertarian, Green, etc.)",2,2,2,0.0,0.0,0.0,50.0,12.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,66,60+,2-year college,Strong Democrat,0,1,2,84.0,70.0,83.0,71.0,77.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,39,30-44,4-year college,Independent,2,2,3,50.0,50.0,50.0,50.0,50.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,35,30-44,Graduate degree,Moderate Democrat,1,1,1,88.0,86.0,70.0,80.0,81.0
Message 24,AI,ban_solitary_confinement_juveniles_pythia-12b_3,pythia-12b,pythia,3.0,223.0,0.0,Male,27,18-29,4-year college,Independent,2,3,2,45.0,53.0,54.0,46.0,49.5
Control,control,,,,,,,Male,42,30-44,High school diploma,Independent,2,1,2,0.0,2.0,9.0,79.0,22.5
Message 64,AI,ban_solitary_confinement_juveniles_Yi-9B_2,Yi-9B,Yi,2.0,182.0,0.0,Female,20,18-29,High school diploma,Strong Democrat,0,0,3,95.0,5.0,5.0,0.0,26.25
Control,control,,,,,,,Male,19,18-29,High school diploma,Independent,2,2,2,15.0,85.0,5.0,94.0,49.75
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,36,30-44,4-year college,Moderate Democrat,1,0,2,0.0,100.0,100.0,100.0,75.0
Control,control,,,,,,,Female,65,60+,High school diploma,Moderate Republican,3,3,3,32.0,34.0,39.0,78.0,45.75
Control,control,,,,,,,Male,28,18-29,4-year college,Moderate Democrat,1,1,3,30.0,67.0,66.0,27.0,47.5
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Non-binary / third gender,22,18-29,High school diploma,Strong Democrat,0,0,3,30.0,30.0,50.0,30.0,35.0
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,53,45-59,4-year college,Moderate Republican,3,2,2,90.0,90.0,5.0,0.0,46.25
Control,control,,,,,,,Female,46,45-59,High school diploma,Moderate Democrat,1,2,3,0.0,0.0,0.0,0.0,0.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,39,30-44,Technical certification or trade school,Moderate Democrat,1,1,0,80.0,93.0,7.0,14.0,48.5
Message 59,AI,ban_solitary_confinement_juveniles_Qwen1.5-4B_3,Qwen1.5-4B,Qwen1.5,3.0,267.0,1.0,Female,53,45-59,Technical certification or trade school,Independent,2,3,3,22.0,25.0,75.0,20.0,35.5
Control,control,,,,,,,Non-binary / third gender,38,30-44,Did not graduate high school,Independent,2,1,2,70.0,56.0,46.0,55.0,56.75
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,72,60+,High school diploma,Strong Democrat,0,1,3,91.0,8.0,91.0,50.0,60.0
Control,control,,,,,,,Male,33,30-44,2-year college,"Other (Libertarian, Green, etc.)",2,0,2,5.0,5.0,0.0,0.0,2.5
Message 20,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_2,Llama-2-13b-hf,Llama,2.0,267.0,1.0,Male,50,45-59,High school diploma,Independent,2,2,2,50.0,50.0,50.0,50.0,50.0
Message 32,AI,ban_solitary_confinement_juveniles_pythia-70m_1,pythia-70m,pythia,1.0,21.0,0.0,Female,45,45-59,High school diploma,Independent,2,1,3,0.0,0.0,0.0,100.0,25.0
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Male,27,18-29,4-year college,Strong Democrat,0,0,2,0.0,0.0,15.0,0.0,3.75
Control,control,,,,,,,Male,50,45-59,4-year college,Strong Democrat,0,0,3,0.0,0.0,5.0,0.0,1.25
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Male,35,30-44,4-year college,Moderate Democrat,1,2,1,92.0,79.0,81.0,24.0,69.0
Message 55,AI,ban_solitary_confinement_juveniles_pythia-12b_1,pythia-12b,pythia,1.0,316.0,0.0,Female,42,30-44,Graduate degree,Moderate Democrat,1,3,3,93.0,91.0,100.0,100.0,96.0
Message 63,AI,ban_solitary_confinement_juveniles_pythia-6.9b_1,pythia-6.9b,pythia,1.0,151.0,1.0,Female,48,45-59,High school diploma,Strong Democrat,0,0,3,0.0,0.0,11.0,0.0,2.75
Control,control,,,,,,,Female,26,18-29,4-year college,Independent,2,2,3,30.0,25.0,70.0,30.0,38.75
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,49,45-59,High school diploma,Strong Democrat,0,0,3,58.0,65.0,54.0,55.0,58.0
Message 31,AI,ban_solitary_confinement_juveniles_Yi-6B_3,Yi-6B,Yi,3.0,295.0,0.0,Female,29,18-29,2-year college,Moderate Democrat,1,0,3,98.0,1.0,0.0,0.0,24.75
Message 46,AI,ban_solitary_confinement_juveniles_pythia-6.9b_2,pythia-6.9b,pythia,2.0,119.0,0.0,Female,60,60+,High school diploma,Strong Republican,4,3,3,65.0,65.0,30.0,60.0,55.0
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,30,30-44,4-year college,Moderate Republican,3,4,2,90.0,96.0,94.0,94.0,93.5
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Male,45,45-59,Technical certification or trade school,Independent,2,1,3,96.0,100.0,88.0,100.0,96.0
Message 36,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_3,Qwen1.5-0.5B,Qwen1.5,3.0,298.0,0.0,Female,39,30-44,4-year college,Moderate Democrat,1,1,1,58.0,50.0,53.0,50.0,52.75
Control,control,,,,,,,Male,34,30-44,2-year college,Independent,2,3,3,5.0,5.0,5.0,95.0,27.5
Control,control,,,,,,,Female,44,30-44,Graduate degree,Moderate Democrat,1,1,3,0.0,0.0,0.0,0.0,0.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,56,45-59,High school diploma,"Other (Libertarian, Green, etc.)",2,2,2,63.0,58.0,51.0,50.0,55.5
Message 20,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_2,Llama-2-13b-hf,Llama,2.0,267.0,1.0,Male,51,45-59,4-year college,Moderate Republican,3,3,1,80.0,81.0,80.0,20.0,65.25
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Female,34,30-44,4-year college,Independent,2,1,3,50.0,50.0,50.0,50.0,50.0
Message 45,AI,ban_solitary_confinement_juveniles_pythia-6.9b_3,pythia-6.9b,pythia,3.0,255.0,0.0,Female,27,18-29,High school diploma,Independent,2,2,0,13.0,17.0,15.0,77.0,30.5
Message 44,AI,ban_solitary_confinement_juveniles_pythia-12b_2,pythia-12b,pythia,2.0,345.0,0.0,Female,39,30-44,High school diploma,Moderate Republican,3,3,2,18.0,32.0,75.0,23.0,37.0
Message 25,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_1,Llama-2-7b-hf,Llama,1.0,245.0,1.0,Male,41,30-44,4-year college,Moderate Democrat,1,1,1,5.0,0.0,3.0,100.0,27.0
Control,control,,,,,,,Non-binary / third gender,63,60+,2-year college,Independent,2,2,2,23.0,21.0,18.0,68.0,32.5
Message 08,AI,ban_solitary_confinement_juveniles_pythia-70m_3,pythia-70m,pythia,3.0,61.0,1.0,Male,75,60+,Graduate degree,Moderate Democrat,1,1,3,20.0,21.0,19.0,84.0,36.0
Control,control,,,,,,,Female,36,30-44,High school diploma,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 67,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_3,Qwen1.5-14B,Qwen1.5,3.0,262.0,1.0,Female,34,30-44,4-year college,"Other (Libertarian, Green, etc.)",2,0,1,0.0,0.0,0.0,0.0,0.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,34,30-44,4-year college,Strong Republican,4,4,2,74.0,57.0,68.0,33.0,58.0
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Prefer not to say,51,45-59,Technical certification or trade school,Moderate Democrat,1,2,2,0.0,0.0,50.0,0.0,12.5
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,35,30-44,High school diploma,"Other (Libertarian, Green, etc.)",2,0,3,24.0,19.0,20.0,12.0,18.75
Control,control,,,,,,,Male,27,18-29,High school diploma,Independent,2,2,3,50.0,55.0,45.0,45.0,48.75
Message 26,AI,ban_solitary_confinement_juveniles_pythia-2.8b_1,pythia-2.8b,pythia,1.0,193.0,0.0,Male,37,30-44,Graduate degree,Independent,2,3,3,85.0,30.0,15.0,70.0,50.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,60,60+,4-year college,Moderate Republican,3,3,2,70.0,80.0,76.0,71.0,74.25
Message 26,AI,ban_solitary_confinement_juveniles_pythia-2.8b_1,pythia-2.8b,pythia,1.0,193.0,0.0,Male,52,45-59,4-year college,Moderate Democrat,1,2,3,66.0,65.0,61.0,66.0,64.5
Message 63,AI,ban_solitary_confinement_juveniles_pythia-6.9b_1,pythia-6.9b,pythia,1.0,151.0,1.0,Male,35,30-44,High school diploma,Moderate Republican,3,3,3,64.0,76.0,61.0,26.0,56.75
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,43,30-44,4-year college,Independent,2,3,1,75.0,75.0,75.0,75.0,75.0
Control,control,,,,,,,Male,25,18-29,2-year college,Strong Republican,4,4,2,43.0,59.0,36.0,36.0,43.5
Control,control,,,,,,,Female,36,30-44,2-year college,Independent,2,2,3,60.0,40.0,40.0,40.0,45.0
Control,control,,,,,,,Male,59,45-59,2-year college,"Other (Libertarian, Green, etc.)",2,2,2,25.0,35.0,30.0,20.0,27.5
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,32,30-44,Graduate degree,Independent,2,2,3,0.0,0.0,0.0,0.0,0.0
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,24,18-29,High school diploma,Independent,2,1,3,82.0,80.0,72.0,22.0,64.0
Message 23,AI,ban_solitary_confinement_juveniles_pythia-410m_3,pythia-410m,pythia,3.0,131.0,1.0,Male,33,30-44,High school diploma,Independent,2,1,1,10.0,30.0,30.0,24.0,23.5
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,54,45-59,4-year college,Independent,2,1,2,20.0,20.0,30.0,20.0,22.5
Message 21,AI,ban_solitary_confinement_juveniles_pythia-410m_1,pythia-410m,pythia,1.0,181.0,0.0,Male,23,18-29,4-year college,Independent,2,2,0,5.0,0.0,3.0,0.0,2.0
Message 57,AI,ban_solitary_confinement_juveniles_falcon-7b_1,falcon-7b,falcon,1.0,185.0,1.0,Female,27,18-29,4-year college,"Other (Libertarian, Green, etc.)",2,1,3,20.0,20.0,10.0,80.0,32.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,33,30-44,Graduate degree,Moderate Democrat,1,1,3,100.0,100.0,100.0,100.0,100.0
Message 01,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_1,Qwen1.5-0.5B,Qwen1.5,1.0,155.0,1.0,Male,34,30-44,High school diploma,Moderate Democrat,1,1,3,100.0,0.0,5.0,0.0,26.25
Control,control,,,,,,,Female,54,45-59,Graduate degree,Moderate Democrat,1,1,3,29.0,12.0,14.0,8.0,15.75
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,30,30-44,4-year college,Moderate Democrat,1,1,2,3.0,0.0,0.0,0.0,0.75
Message 29,AI,ban_solitary_confinement_juveniles_Yi-34B_3,Yi-34B,Yi,3.0,228.0,1.0,Female,36,30-44,Graduate degree,Moderate Democrat,1,1,1,40.0,29.0,40.0,20.0,32.25
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,23,18-29,4-year college,Moderate Democrat,1,1,2,21.0,18.0,12.0,21.0,18.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Male,35,30-44,High school diploma,Moderate Republican,3,2,2,100.0,88.0,100.0,94.0,95.5
Control,control,,,,,,,Female,69,60+,2-year college,Independent,2,3,3,100.0,0.0,100.0,100.0,75.0
Message 41,AI,ban_solitary_confinement_juveniles_pythia-70m_2,pythia-70m,pythia,2.0,145.0,0.0,Female,59,45-59,Technical certification or trade school,Moderate Democrat,1,3,3,88.0,88.0,99.0,2.0,69.25
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,53,45-59,4-year college,Moderate Republican,3,2,1,15.0,82.0,80.0,95.0,68.0
Message 23,AI,ban_solitary_confinement_juveniles_pythia-410m_3,pythia-410m,pythia,3.0,131.0,1.0,Male,38,30-44,4-year college,Strong Democrat,0,0,3,40.0,60.0,40.0,60.0,50.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,36,30-44,Graduate degree,Independent,2,2,3,40.0,33.0,36.0,18.0,31.75
Message 38,AI,ban_solitary_confinement_juveniles_pythia-1b_2,pythia-1b,pythia,2.0,88.0,0.0,Male,34,30-44,Graduate degree,Moderate Democrat,1,0,3,71.0,29.0,44.0,23.0,41.75
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,28,18-29,4-year college,"Other (Libertarian, Green, etc.)",2,2,3,0.0,0.0,0.0,0.0,0.0
Message 54,AI,ban_solitary_confinement_juveniles_pythia-1.4b_1,pythia-1.4b,pythia,1.0,98.0,0.0,Female,54,45-59,Graduate degree,Independent,2,3,3,20.0,70.0,30.0,19.0,34.75
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,31,30-44,2-year college,Independent,2,1,3,20.0,20.0,10.0,15.0,16.25
Message 25,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_1,Llama-2-7b-hf,Llama,1.0,245.0,1.0,Female,55,45-59,4-year college,Independent,2,2,3,100.0,91.0,30.0,0.0,55.25
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,44,30-44,4-year college,Independent,2,2,3,95.0,83.0,14.0,90.0,70.5
Message 39,AI,ban_solitary_confinement_juveniles_Yi-6B_1,Yi-6B,Yi,1.0,279.0,1.0,Female,25,18-29,4-year college,Independent,2,1,2,63.0,67.0,50.0,67.0,61.75
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,33,30-44,High school diploma,Independent,2,1,2,50.0,50.0,50.0,50.0,50.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,28,18-29,High school diploma,Independent,2,1,2,16.0,15.0,20.0,15.0,16.5
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,30,30-44,2-year college,Moderate Republican,3,3,1,90.0,89.0,97.0,14.0,72.5
Control,control,,,,,,,Female,30,30-44,High school diploma,Moderate Democrat,1,1,3,72.0,29.0,13.0,82.0,49.0
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Male,30,30-44,High school diploma,"Other (Libertarian, Green, etc.)",2,4,2,65.0,76.0,45.0,55.0,60.25
Message 39,AI,ban_solitary_confinement_juveniles_Yi-6B_1,Yi-6B,Yi,1.0,279.0,1.0,Male,19,18-29,High school diploma,Independent,2,1,3,0.0,0.0,0.0,100.0,25.0
Message 18,AI,ban_solitary_confinement_juveniles_falcon-7b_3,falcon-7b,falcon,3.0,250.0,0.0,Male,51,45-59,Graduate degree,Moderate Democrat,1,1,3,10.0,10.0,5.0,2.0,6.75
Message 12,AI,ban_solitary_confinement_juveniles_pythia-2.8b_2,pythia-2.8b,pythia,2.0,86.0,0.0,Female,34,30-44,Graduate degree,Strong Democrat,0,0,3,4.0,5.0,3.0,6.0,4.5
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,52,45-59,4-year college,Independent,2,1,3,20.0,20.0,13.0,29.0,20.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Non-binary / third gender,25,18-29,High school diploma,Moderate Democrat,1,1,2,0.0,0.0,0.0,0.0,0.0
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,38,30-44,2-year college,Strong Democrat,0,1,3,43.0,42.0,48.0,41.0,43.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,20,18-29,High school diploma,Moderate Democrat,1,1,3,70.0,71.0,52.0,68.0,65.25
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,42,30-44,4-year college,Strong Democrat,0,0,2,30.0,28.0,31.0,25.0,28.5
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,63,60+,2-year college,Independent,2,2,3,48.0,48.0,50.0,53.0,49.75
Message 04,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_3,Qwen1.5-7B,Qwen1.5,3.0,172.0,1.0,Male,34,30-44,4-year college,Moderate Democrat,1,1,3,80.0,85.0,75.0,80.0,80.0
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Female,34,30-44,Technical certification or trade school,Independent,2,1,2,100.0,100.0,100.0,0.0,75.0
Control,control,,,,,,,Male,48,45-59,Technical certification or trade school,Independent,2,1,3,65.0,65.0,50.0,65.0,61.25
Message 73,AI,ban_solitary_confinement_juveniles_pythia-1.4b_3,pythia-1.4b,pythia,3.0,147.0,0.0,Non-binary / third gender,29,18-29,High school diploma,Moderate Democrat,1,0,2,0.0,0.0,0.0,0.0,0.0
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,30,30-44,Graduate degree,Independent,2,3,2,84.0,90.0,69.0,85.0,82.0
Control,control,,,,,,,Female,39,30-44,4-year college,Independent,2,0,3,0.0,0.0,0.0,20.0,5.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,38,30-44,High school diploma,Moderate Republican,3,2,2,32.0,39.0,21.0,30.0,30.5
